"code_commune_insee","nom_de_la_commune","code_postal","libelle_d_acheminement","ligne_5","_geopoint","latitude","longitude"
"01177","GRAND CORENT","01250","GRAND CORENT",,"46.2088806,5.4387611","46.2088806","5.4387611"
"01179","GRIEGES","01290","GRIEGES",,"46.266925099999995,4.8475076","46.266925099999995","4.8475076"
"01180","GRILLY","01220","GRILLY",,"46.3318158,6.1139037","46.3318158","6.1139037"
"01181","GROISSIAT","01100","GROISSIAT",,"46.22697995,5.6178550000000005","46.22697995","5.6178550000000005"
"01183","GUEREINS","01090","GUEREINS",,"46.1059927,4.783860600000001","46.1059927","4.783860600000001"
"01184","HAUTECOURT ROMANECHE","01250","HAUTECOURT ROMANECHE",,"46.15916785,5.43111955","46.15916785","5.43111955"
"01184","HAUTECOURT ROMANECHE","01250","HAUTECOURT ROMANECHE","ROMANECHE","46.15916785,5.43111955","46.15916785","5.43111955"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","CORMARANCHE EN BUGEY","45.9304878,5.5774902","45.9304878","5.5774902"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","HAUTEVILLE LOMPNES","45.9304878,5.5774902","45.9304878","5.5774902"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","HOSTIAZ","45.9304878,5.5774902","45.9304878","5.5774902"
"01185","PLATEAU D HAUTEVILLE","01110","PLATEAU D HAUTEVILLE","THEZILLIEU","45.9304878,5.5774902","45.9304878","5.5774902"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","HOTONNES","46.04360005,5.6846461","46.04360005","5.6846461"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","LE GRAND ABERGEMENT","46.04360005,5.6846461","46.04360005","5.6846461"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","LE PETIT ABERGEMENT","46.04360005,5.6846461","46.04360005","5.6846461"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","RUFFIEU","46.04360005,5.6846461","46.04360005","5.6846461"
"01187","HAUT VALROMEY","01260","HAUT VALROMEY","SONGIEU","46.04360005,5.6846461","46.04360005","5.6846461"
"01188","ILLIAT","01140","ILLIAT",,"46.183822,4.88841105","46.183822","4.88841105"
"01189","INJOUX GENISSIAT","01200","INJOUX GENISSIAT",,"46.05054845,5.76778105","46.05054845","5.76778105"
"01189","INJOUX GENISSIAT","01200","INJOUX GENISSIAT","CRAZ","46.05054845,5.76778105","46.05054845","5.76778105"
"01190","INNIMOND","01680","INNIMOND",,"45.78749355,5.57231655","45.78749355","5.57231655"
"01191","IZENAVE","01430","IZENAVE",,"46.0380217,5.52338925","46.0380217","5.52338925"
"01192","IZERNORE","01580","IZERNORE",,"46.215992299999996,5.5609297","46.215992299999996","5.5609297"
"01193","IZIEU","01300","IZIEU",,"45.655540650000006,5.6386576999999996","45.655540650000006","5.6386576999999996"
"01194","JASSANS RIOTTIER","01480","JASSANS RIOTTIER",,"45.9770838,4.7625806","45.9770838","4.7625806"
"01195","JASSERON","01250","JASSERON",,"46.217615550000005,5.3170141","46.217615550000005","5.3170141"
"01196","JAYAT","01340","JAYAT",,"46.3698269,5.1117138","46.3698269","5.1117138"
"01197","JOURNANS","01250","JOURNANS",,"46.1454504,5.33332375","46.1454504","5.33332375"
"01198","JOYEUX","01800","JOYEUX",,"45.94600955,5.09983495","45.94600955","5.09983495"
"01199","JUJURIEUX","01640","JUJURIEUX",,"46.05029555,5.4121709","46.05029555","5.4121709"
"01200","LABALME","01450","LABALME",,"46.09148055,5.4944661","46.09148055","5.4944661"
"01202","LAGNIEU","01150","LAGNIEU",,"45.88631495,5.33956905","45.88631495","5.33956905"
"01203","LAIZ","01290","LAIZ",,"46.2461524,4.9005889499999995","46.2461524","4.9005889499999995"
"01204","LE POIZAT LALLEYRIAT","01130","LE POIZAT LALLEYRIAT","LALLEYRIAT","46.13915505,5.6955342","46.13915505","5.6955342"
"01204","LE POIZAT LALLEYRIAT","01130","LE POIZAT LALLEYRIAT","LE POIZAT","46.13915505,5.6955342","46.13915505","5.6955342"
"01206","LANTENAY","01430","LANTENAY",,"46.05308945,5.53794425","46.05308945","5.53794425"
"01207","LAPEYROUSE","01330","LAPEYROUSE",,"45.9849023,4.9821209500000005","45.9849023","4.9821209500000005"
"01208","LAVOURS","01350","LAVOURS",,"45.8107945,5.7707200499999995","45.8107945","5.7707200499999995"
"01209","LEAZ","01200","LEAZ",,"46.1113274,5.87677515","46.1113274","5.87677515"
"01210","LELEX","01410","LELEX",,"46.28560885,5.92740855","46.28560885","5.92740855"
"01211","LENT","01240","LENT",,"46.1165489,5.1973498","46.1165489","5.1973498"
"01212","LESCHEROUX","01560","LESCHEROUX",,"46.4089084,5.157254200000001","46.4089084","5.157254200000001"
"01213","LEYMENT","01150","LEYMENT",,"45.928672399999996,5.29266305","45.928672399999996","5.29266305"
"01214","LEYSSARD","01450","LEYSSARD",,"46.160494150000005,5.47668975","46.160494150000005","5.47668975"
"01215","SURJOUX LHOPITAL","01420","SURJOUX LHOPITAL","LHOPITAL","46.0301603,5.766571900000001","46.0301603","5.766571900000001"
"01215","SURJOUX LHOPITAL","01420","SURJOUX LHOPITAL","SURJOUX","46.0301603,5.766571900000001","46.0301603","5.766571900000001"
"01216","LHUIS","01680","LHUIS",,"45.746886950000004,5.5397741","45.746886950000004","5.5397741"
"01219","LOMPNAS","01680","LOMPNAS",,"45.81179625,5.526278250000001","45.81179625","5.526278250000001"
"01224","LOYETTES","01360","LOYETTES",,"45.7953048,5.21632535","45.7953048","5.21632535"
"01225","LURCY","01090","LURCY",,"46.06275785,4.7802486","46.06275785","4.7802486"
"01227","MAGNIEU","01300","MAGNIEU",,"45.776301450000005,5.71965445","45.776301450000005","5.71965445"
"01227","MAGNIEU","01300","MAGNIEU","ST CHAMP","45.776301450000005,5.71965445","45.776301450000005","5.71965445"
"01228","MAILLAT","01430","MAILLAT",,"46.12041215,5.535012249999999","46.12041215","5.535012249999999"
"01229","MALAFRETAZ","01340","MALAFRETAZ",,"46.32993075,5.1461621","46.32993075","5.1461621"
"01230","MANTENAY MONTLIN","01560","MANTENAY MONTLIN",,"46.4317705,5.10639345","46.4317705","5.10639345"
"01231","MANZIAT","01570","MANZIAT",,"46.36505525,4.90261495","46.36505525","4.90261495"
"01232","MARBOZ","01851","MARBOZ",,"46.34521385,5.24606805","46.34521385","5.24606805"
"01233","MARCHAMP","01680","MARCHAMP",,"45.776187750000005,5.5509185500000005","45.776187750000005","5.5509185500000005"
